Timestamp,Src_IP,Dst_IP,Protocol,Src_Port,Dst_Port,Packet_Size,Packet_Rate,Byte_Rate,Unique_IP_Count,Label
2024-11-25 20:39:17,98.32.125.88,160.245.97.51,UDP,49837,80,1360,94.1623728319237,4171.0976646749405,4,Normal
2024-11-25 20:39:18,143.193.85.189,32.69.95.189,UDP,12833,80,1303,19.430736623257978,3884.9258406225786,5,Normal
2024-11-25 20:39:19,180.79.157.3,237.200.238.174,UDP,1714,80,775,90.12962996388379,7426.250324063607,5,Normal
2024-11-25 20:39:20,249.146.181.221,148.92.91.165,TCP,30555,443,1289,88.89607836279005,4189.448273114003,5,Normal
2024-11-25 20:39:21,116.67.12.233,25.184.50.112,TCP,48911,80,1480,55.06677165581968,8487.358139458018,1,Normal
2024-11-25 20:39:22,144.216.98.135,11.57.68.16,UDP,52549,443,1211,86.89303212583096,4654.322223637766,1,Normal
2024-11-25 20:39:23,38.107.20.4,248.136.7.37,UDP,10562,80,1155,27.67574258732938,8593.394369163769,2,Normal
2024-11-25 20:39:24,209.13.208.77,148.152.102.11,TCP,35400,80,1155,99.12944911208471,1792.4686414319149,2,Normal
2024-11-25 20:39:25,48.170.102.203,195.224.148.30,TCP,5671,443,991,63.624134847831336,8029.4929472982585,3,Normal
2024-11-25 20:39:26,50.55.194.83,102.201.21.137,TCP,3591,443,1402,43.177295785814565,5080.341146313578,2,Normal
2024-11-25 20:39:27,149.185.114.100,176.183.145.110,TCP,61837,80,350,58.2419199662215,3312.944546559901,4,Normal
2024-11-25 20:39:28,4.37.247.71,89.55.173.124,TCP,19150,80,635,66.59255700931784,4506.086586637863,5,Normal
2024-11-25 20:39:29,46.171.63.29,81.158.136.20,TCP,9724,80,361,78.28962129536583,4521.7658923363,3,Normal
2024-11-25 20:39:30,222.221.229.129,147.81.80.54,UDP,12388,80,1340,32.86008365212841,2187.331757139158,2,Normal
2024-11-25 20:39:31,199.236.203.27,250.25.91.33,TCP,50942,443,1156,59.07818997103563,6698.222331622127,5,Normal
2024-11-25 20:39:32,7.11.188.204,128.142.121.52,UDP,12006,22,215,76.13232618753561,6055.642624563732,5,Normal
2024-11-25 20:39:33,28.62.110.155,28.78.249.183,TCP,42827,22,626,53.438633829396665,4443.004451013809,4,Normal
2024-11-25 20:39:34,82.72.128.85,225.47.14.206,TCP,9290,22,987,15.70889733081168,5681.126990294857,1,Normal
2024-11-25 20:39:35,50.22.197.202,114.14.168.0,TCP,48676,22,1280,85.22310627833741,4008.052284400372,4,Normal
2024-11-25 20:39:36,154.162.208.199,120.160.123.148,TCP,19246,22,1332,54.45333725344726,6913.095483178418,2,Normal
2024-11-25 20:39:37,244.15.65.218,242.211.98.46,TCP,25740,443,180,10.589922687466624,4736.608653180814,1,Normal
2024-11-25 20:39:38,226.108.54.114,165.45.199.152,UDP,61091,22,1359,97.17059412653913,6948.968542987944,3,Normal
2024-11-25 20:39:39,47.143.178.61,182.152.94.43,UDP,52348,22,141,48.38307986415698,5138.490405461397,2,Normal
2024-11-25 20:39:40,79.249.202.253,44.187.59.116,TCP,33876,80,237,43.19121648177584,9207.293887100286,5,Normal
2024-11-25 20:39:41,243.212.199.109,200.13.217.169,TCP,7401,443,1093,78.92100304800142,3333.5468243480223,4,Normal
2024-11-25 20:39:42,113.79.220.100,205.5.118.213,TCP,2612,443,1090,21.652328183382387,6399.326573078958,3,Normal
2024-11-25 20:39:43,17.156.132.27,98.137.155.84,UDP,50342,443,901,93.3537554538155,4562.260730243379,3,Normal
2024-11-25 20:39:44,159.39.75.37,135.64.47.223,UDP,2181,80,44,10.866664850797374,7849.313201524845,1,Normal
2024-11-25 20:39:45,103.244.124.87,187.251.126.131,UDP,37696,80,1264,35.906511793245,5642.331479248649,1,Normal
2024-11-25 20:39:46,189.85.99.252,100.219.63.1,UDP,56936,443,1464,99.19907811882153,9968.358835196781,5,Normal
2024-11-25 20:39:47,90.226.133.5,120.5.103.58,TCP,53374,443,1455,32.44998472284679,3060.9810755756534,5,Normal
2024-11-25 20:39:48,111.123.78.184,141.67.118.142,TCP,8981,80,388,72.31296745127217,8808.959971208547,2,Normal
2024-11-25 20:39:49,78.149.13.138,180.155.233.201,UDP,11890,80,466,33.267285143093375,5955.3588108036165,3,Normal
2024-11-25 20:39:50,33.250.144.21,56.60.214.90,TCP,33279,22,61,84.05302330732111,7333.9533897053925,5,Normal
2024-11-25 20:39:51,153.114.11.3,135.249.189.82,UDP,48578,443,117,30.949351483550675,6062.328804573035,2,Normal
2024-11-25 20:39:52,167.11.176.106,196.189.58.214,UDP,27528,80,981,93.91864097313048,8786.011181446973,3,Normal
2024-11-25 20:39:53,229.15.62.158,50.130.153.161,TCP,37580,22,222,89.06994180572103,9716.21898381546,3,Normal
2024-11-25 20:39:54,246.101.231.70,179.76.104.53,TCP,31393,80,126,38.32851170942453,7547.2575914119525,3,Normal
2024-11-25 20:39:55,249.138.26.14,247.118.199.177,UDP,38920,443,294,79.69909398874869,3506.8208827919284,4,Normal
2024-11-25 20:39:56,225.55.80.155,244.171.160.21,TCP,26428,80,1242,17.879062512616613,5339.767374072419,1,Normal
2024-11-25 20:39:57,202.162.28.208,49.50.162.83,UDP,16618,443,555,93.85563343474743,8140.290138575439,5,Normal
2024-11-25 20:39:58,114.224.55.168,225.149.139.235,UDP,15859,443,62,40.947665479040424,1000.9732825241299,3,Normal
2024-11-25 20:39:59,183.139.186.130,160.3.128.135,UDP,38116,22,205,54.11087653400157,9961.464308790162,2,Normal
2024-11-25 20:40:00,39.53.188.227,191.153.247.71,UDP,21782,22,269,81.20942114945021,3773.3786741150157,1,Normal
2024-11-25 20:40:01,199.98.62.22,193.61.4.66,UDP,57014,80,1484,10.88594187565776,7947.352844414699,5,Normal
2024-11-25 20:40:02,28.224.122.120,172.94.85.202,TCP,16769,443,1145,52.15825666297477,7543.975623081247,3,Normal
2024-11-25 20:40:03,162.82.251.211,36.155.229.234,TCP,8486,22,1008,25.479194096189836,3406.2429884268454,2,Normal
2024-11-25 20:40:04,93.202.43.132,179.234.109.142,TCP,31313,22,656,82.33538052188389,9350.444951500927,1,Normal
2024-11-25 20:40:05,150.41.225.9,176.187.0.182,TCP,56787,443,1112,12.357297728564266,3241.3134643283734,1,Normal
2024-11-25 20:40:06,180.140.46.159,193.134.60.19,TCP,59188,443,830,37.11711945218226,1070.9912900470497,1,Normal
